ts, avg, min, max, total_avg
2017-11-12 00:00, 13.25, 9, 19, 15.404199475065617
2017-11-12 00:15, 13.25, 9, 19, 15.404199475065617
2017-11-12 00:30, 13.25, 9, 19, 15.404199475065617
2017-11-12 00:45, 13.0, 9, 19, 15.404199475065617
2017-11-12 01:00, 13.25, 10, 19, 15.404199475065617
2017-11-12 01:15, 13.25, 10, 19, 15.404199475065617
2017-11-12 01:30, 13.0, 10, 19, 15.404199475065617
2017-11-12 01:45, 13.0, 10, 19, 15.404199475065617
2017-11-12 02:00, 12.75, 9, 19, 15.404199475065617
2017-11-12 02:15, 12.5, 9, 18, 15.404199475065617
2017-11-12 02:30, 12.5, 9, 18, 15.404199475065617
2017-11-12 02:45, 12.25, 9, 17, 15.404199475065617
2017-11-12 03:00, 12.25, 9, 17, 15.404199475065617
2017-11-12 03:15, 12.25, 9, 17, 15.404199475065617
2017-11-12 03:30, 12.0, 9, 16, 15.404199475065617
2017-11-12 03:45, 12.25, 9, 18, 15.404199475065617
2017-11-12 04:00, 13.25, 10, 19, 15.404199475065617
2017-11-12 04:15, 13.5, 11, 19, 15.404199475065617
2017-11-12 04:30, 11.75, 9, 18, 15.404199475065617
2017-11-12 04:45, 11.25, 7, 18, 15.404199475065617
2017-11-12 05:00, 11.5, 7, 19, 15.404199475065617
2017-11-12 05:15, 10.5, 6, 18, 15.404199475065617
2017-11-12 05:30, 10.25, 6, 17, 15.404199475065617
2017-11-12 05:45, 10.5, 5, 18, 15.404199475065617
2017-11-12 06:00, 10.5, 5, 18, 15.404199475065617
2017-11-12 06:15, 10.25, 5, 17, 15.404199475065617
2017-11-12 06:30, 10.75, 6, 18, 15.404199475065617
2017-11-12 06:45, 10.5, 6, 18, 15.404199475065617
2017-11-12 07:00, 10.5, 6, 18, 15.404199475065617
2017-11-12 07:15, 10.5, 6, 18, 15.404199475065617
2017-11-12 07:30, 9.75, 5, 16, 15.404199475065617
2017-11-12 07:45, 10.5, 5, 16, 15.404199475065617
2017-11-12 08:00, 10.25, 6, 15, 15.404199475065617
2017-11-12 08:15, 10.5, 6, 15, 15.404199475065617
2017-11-12 08:30, 12.333333333333334, 8, 15, 15.404199475065617
2017-11-12 08:45, 12.666666666666666, 9, 16, 15.404199475065617
2017-11-12 09:00, 13.333333333333334, 10, 16, 15.404199475065617
2017-11-12 09:15, 16.333333333333332, 16, 17, 15.404199475065617
2017-11-12 09:30, 16.666666666666668, 16, 18, 15.404199475065617
2017-11-12 09:45, 20.0, 17, 23, 15.404199475065617
2017-11-12 10:00, 20.666666666666668, 19, 23, 15.404199475065617
2017-11-12 10:15, 19.25, 14, 24, 15.404199475065617
2017-11-12 10:30, 19.25, 15, 22, 15.404199475065617
2017-11-12 10:45, 18.75, 14, 23, 15.404199475065617
2017-11-12 11:00, 19.25, 15, 24, 15.404199475065617
2017-11-12 11:15, 19.75, 15, 24, 15.404199475065617
2017-11-12 11:30, 20.25, 16, 24, 15.404199475065617
2017-11-12 11:45, 20.5, 16, 24, 15.404199475065617
2017-11-12 12:00, 20.25, 16, 24, 15.404199475065617
2017-11-12 12:15, 20.25, 16, 23, 15.404199475065617
2017-11-12 12:30, 20.25, 16, 24, 15.404199475065617
2017-11-12 12:45, 20.25, 15, 24, 15.404199475065617
2017-11-12 13:00, 19.75, 15, 23, 15.404199475065617
2017-11-12 13:15, 19.75, 16, 24, 15.404199475065617
2017-11-12 13:30, 19.25, 15, 23, 15.404199475065617
2017-11-12 13:45, 19.75, 16, 23, 15.404199475065617
2017-11-12 14:00, 20.0, 16, 24, 15.404199475065617
2017-11-12 14:15, 20.0, 15, 24, 15.404199475065617
2017-11-12 14:30, 20.0, 15, 24, 15.404199475065617
2017-11-12 14:45, 19.75, 15, 24, 15.404199475065617
2017-11-12 15:00, 19.75, 15, 24, 15.404199475065617
2017-11-12 15:15, 19.5, 15, 24, 15.404199475065617
2017-11-12 15:30, 18.5, 13, 24, 15.404199475065617
2017-11-12 15:45, 19.75, 15, 23, 15.404199475065617
2017-11-12 16:00, 19.75, 15, 23, 15.404199475065617
2017-11-12 16:15, 18.5, 16, 23, 15.404199475065617
2017-11-12 16:30, 19.0, 17, 22, 15.404199475065617
2017-11-12 16:45, 19.0, 17, 23, 15.404199475065617
2017-11-12 17:00, 19.0, 17, 22, 15.404199475065617
2017-11-12 17:15, 19.25, 17, 23, 15.404199475065617
2017-11-12 17:30, 19.0, 17, 22, 15.404199475065617
2017-11-12 17:45, 18.333333333333332, 18, 19, 15.404199475065617
2017-11-12 18:00, 18.5, 17, 22, 15.404199475065617
2017-11-12 18:15, 17.25, 11, 21, 15.404199475065617
2017-11-12 18:30, 17.25, 11, 21, 15.404199475065617
2017-11-12 18:45, 17.0, 11, 21, 15.404199475065617
2017-11-12 19:00, 17.0, 11, 21, 15.404199475065617
2017-11-12 19:15, 16.5, 11, 20, 15.404199475065617
2017-11-12 19:30, 16.5, 11, 20, 15.404199475065617
2017-11-12 19:45, 17.0, 12, 21, 15.404199475065617
2017-11-12 20:00, 16.5, 12, 20, 15.404199475065617
2017-11-12 20:15, 16.0, 13, 21, 15.404199475065617
2017-11-12 20:30, 15.75, 11, 22, 15.404199475065617
2017-11-12 20:45, 16.25, 11, 22, 15.404199475065617
2017-11-12 21:00, 15.75, 11, 21, 15.404199475065617
2017-11-12 21:15, 15.75, 11, 21, 15.404199475065617
2017-11-12 21:30, 15.75, 11, 21, 15.404199475065617
2017-11-12 21:45, 15.0, 11, 20, 15.404199475065617
2017-11-12 22:00, 14.5, 10, 20, 15.404199475065617
2017-11-12 22:15, 13.75, 9, 19, 15.404199475065617
2017-11-12 22:30, 13.5, 9, 18, 15.404199475065617
2017-11-12 22:45, 13.75, 9, 18, 15.404199475065617
